bibkey	reference
abbassy1995embryogenesis2	Abbassy, Magda M, et al. “Embryogenesis of the sand fly Phlebotomus papatasi (Diptera: Psychodidae): cell cleavage, blastoderm formation, and gastrulation”. Annals of the Entomological Society of America 88.6 (1995): 809–814. Print.	
Abdel-Razak2007	Abdel-Razak, Soad I, et al. “Ultrastructure of egg shell of four different Coccoidea species in Egypt”. Communications in Agricultural and Applied Biological Sciences 73.3. issn: 1379-1176 (2007): 521–527. Print.	
Abdurahiman1976	Abdurahiman, U C and K J Joseph. “Observations on the biology and behaviour of Ceratosolen marchali Mayr (Agaonidae, Chalcidoidea, Hymenoptera)”. Entomon 1.2 (1976): 115–122. Print.	
Abraham1990	Abraham, Y J, D Moore, and G Godwin. “Rearing and aspects of biology of Cephalonomia stephanoderis and Prorops nasuta (Hymenoptera: Bethylidae) parasitoids of the coffee berry borer, Hypothenemus hampei (Coleoptera: Scolytidae)”. Bulletin of Entomological Research 80.2. issn: 1475-2670 (1990): 121–128. Print.	
Adamski2013	Adamski, D, et al. “Description and evaluation of Metharmostis multilineata (Cosmopterigidae) and Idiophantis soreuta (Gelechiidae) (Lepidoptera: Gelechioidea) For biocontrol of downy rose myrtle, Rhodomyrtus tomentosa (Myrtaceae)”. The Journal of the Lepidopterists’ Society 67.2. issn: 0024-0966 (2013): 111–127. Print.	
Adidharma2012	Adidharma, Damayanti and Y D Ciptadi. “Biology of Trissolcus latisulcus Crawford (Hymenoptera: Scelionidae), an egg parasitoid of Chrysocoris javanus Westw (Hemiptera: Scutelleridae)”. Agrivita 34.3. issn: 0126-0537 (2012). Print.	
ahmad2017eggshell	Ahmad, Aftab. “The eggshell morphology of Rallicola unguiculatus Piaget, 1880 (Ischnocera: Phthiraptera)”. Journal of Parasitic Diseases 41.2 (2017): 562–564. Print.	
ahmad2010population	Ahmad, Aftab, et al. “Population characteristics and the nature of egg shells of two Phthirapteran species parasitizing Indian cattle egrets”. Journal of Insect Science 10 (2010). Print.	
ahmad2015stray	Ahmad, Aftab, et al. “Stray notes on two phthirapteran species occurring on Indian grey Horn Bill, Tockus birostris Scopoli (Coraciformes: Bucerotidae)”. Journal of Parasitic Diseases 39.4 (2015): 761–765. Print.	
Aiello1980	Aiello, Annette. “Life history of Dysodia ska (Lepidoptera: Thyrididae) in Panama”. Psyche 87.1-2 (1980): 121–130. Print.	
Aiello	Aiello, Annette and Manuel Balcazar-lara. “The immature stages of Oxytenis modestia with comments of the larvae of Asthenidia and Homoeopteryx (Saturniidae: Oxyteninae)”. Journal of The Lepidopterists’ Society 51.1-1. issn: 240966 (1997): 105–118. Print.	
Aiken1986	Aiken, R B. “Effects of temperature on incubation times and mortality rates of eggs of Dytiscus alaskanus (Coleoptera: Dytiscidae)”. Ecography 9.2. issn: 1600-0587 (1986): 133–136. Print.	
Aina1975	Aina, John Olu. “The life history of Riptortus dentipes F.(Alydidae, Heteroptera) a pest of growing cowpea pods”. Journal of Natural History 9.5. issn: 0022-2933 (1975): 589–596. Print.	
Aitken1966	Aitken, Audrey D. “A strain of small Oryzaephilus surinamensis (L.) (Coleoptera, Silvanidae) from the Far East”. Journal of Stored Products Research 2.1. issn: 0022-474X (1966): 45–55. Print.	
ajidagba1979embryonic	Ajidagba, Peace Olayiwola Akanmu. “Embryonic development of the stable fly, Stomoxys calcitrans Linnaeus (Diptera: Muscidae): a light and electron microscopy study”. MA thesis. 1979. Print.	
ajidagba1983early	Ajidagba, Peace, C W Pitts, and D E Bay. “Early embryogenesis in the stable fly (Diptera: Muscidae)”. Annals of the Entomological Society of America 76.4 (1983): 616–623. Print.	
AlBitar2012	Al Bitar, Loris, et al. “Egg adhesion of the codling moth Cydia pomonella L. (Lepidoptera, Tortricidae) to various substrates: II. Fruit surfaces of different apple cultivars”. Arthropod-Plant Interactions 6.3. issn: 1872-8855 (2014): 471–488. Print.	
Tercedor1999	Alba-Tercedor, Javier and Majida El Alami. “Description of the nymphs and eggs of Acentrella almohades sp. n. from Morocco and Southern Spain (Ephemeroptera: Baetidae)”. Aquatic Insects 21.4. issn: 0165-0424 (1999): 241–247. Print.	
Alencar1992	Alencar, Ana Paula Pires de and Antônio Cesar Rios Leite. “Ultrastructure of the egg of Muscina stabulans and Synthesiomyia nudiseta (Diptera: Muscidae)”. Memórias do Instituto Oswaldo Cruz 87.4. issn: 0074-0276 (1992): 463–466. Print.	
Alexander1987	Alexander, B and Jerome George Rozen Jr. “Ovaries, ovarioles, and oocytes in parasitic bees (Hymenoptera: Apoidea)”. The Pan-Pacific Entomologist. issn: 0031-0603 (1987). Print.	
Alford1968	Alford, D V. “The biology and immature stages of Syntretus splendidus (Marshall) (Hymenoptera: Braconidae, Euphorinae), a parasite of adult bumblebees”. Transactions of the Royal Entomological Society of London 120.17. issn: 1365-2311 (1968): 375–393. Print.	
Allsopp1980	Allsopp, P G. “Identification of false wireworms (Coleoptera: Tenebrionidae) from southern Queensland and northern New South Wales”. Australian Journal of Entomology 18.3. issn: 1440-6055 (1980): 277–286. Print.	
allsopp1988biology	Allsopp, P G and L N Robertson. “Biology, ecology and control of soldier flies Inopus spp (Diptera, Stratiomyidae) - a review”. Australian Journal of Zoology 36.6 (1988): 627–648. Print.	
DeAlmeida2004	Almeida, Danielle Nogueira de, et al. “Patterns of exochorion ornaments on eggs of seven South American species of Lutzomyia sand flies (Diptera: Psychodidae)”. Journal of Medical Entomology 41.5. issn: 0022-2585 (2004): 819–825. Print.	
Almeida2014	Almeida, Fabio, et al. “Morphometric comparisons of the scanning electron micrographs of the eggs of Anopheles (Nyssorhynchus) darlingi Root (Diptera: Culicidae)”. Acta tropica 139. issn: 0001-706X (2014): 115–122. Print.	
Altahtawy1972	Altahtawy, M M, S M El‐Sawaf, and F F Shalaby. “Studies on morphology and development of the immature stages of Microplitis rufiventris Kokujev (Hym., Bracon.)” Zeitschrift für Angewandte Entomologie 71.1‐4. issn: 1439-0418 (1972): 134–140. Print.	
Altson1923	Altson, A M. “On the method of oviposition and the egg of Lyctus brunneus, Steph.” Journal of the Linnean Society of London, Zoology 35.234. issn: 1096-3642 (1923): 217–227. Print.	
dos-Santos2002	Alves-dos-Santos, Isabel, Gabriel A R Melo, and Jerome George Rozen Jr. “Biology and immature stages of the bee tribe Tetrapediini (Hymenoptera: Apidae)”. American Museum Novitates. issn: 0003-0082 (2002): 1–45. Print.	
Amos1974	Amos, W B and George Salt. “An atlas of the development of eggs of an ichneumon wasp”. Journal of Entomology Series B, Taxonomy 43.1. issn: 1365-3113 (1974): 11–18. Print.	
amy1961embryology	Amy, Robert L. “The embryology of Habrobracon juglandis (Ashmead)”. Journal of Morphology 109.2 (1961): 199–217. Print.	
Andaur-Arenas2009a	Andaur-Arenas, Daniela and Tania S Olivares. “Egg ultrastructures in five species of macrolepidopterans with a key for Copitarsia Hampson (Lepidoptera, Ditrysia) eggs”. Agrociencia 43.1. issn: 1405-3195 (2009): 49–59. Print.	
Andaur-Arenas2009	“Ultraestructura de huevos en cinco especies de macrolepidópteros con una clave de los huevos de Copitarsia Hampson (Lepidoptera, Ditrysia)”. Agrociencia 43.1. issn: 1405-3195 (2009): 49–59. Print.	
anderson1962embryology	Anderson, D T. “The embryology of Dacus tryoni (Frogg.)[Diptera, Trypetidae (= Tephritidae)], the queensland fruit-fly”. Development 10.3 (1962): 248–292. Print.	
anderson1977embryonic	Anderson, D T and C Lawson-Kerr. “The embryonic development of the marine caddis fly, Philanisus plebeius Walker (Trichoptera: Chathamidae)”. The Biological Bulletin 153.1 (1977): 98–105. Print.	
Anderson1976	Anderson, J M E. “Aquatic Hydrophilidae (Coleoptera). The biology of some Australian species with descriptions of immature stages reared in the laboratory”. Australian Journal of Entomology 15.2. issn: 1440-6055 (1976): 219–228. Print.	
Anderson1974a	Anderson, N H and John R Bourne. “Bionomics of three species of glossosomatid caddis flies (Trichoptera: Glossosomatidae) in Oregon”. Canadian Journal of Zoology 52.3. issn: 0008-4301 (1974): 405–411. Print.	
1990cleavage	Ando, H, R Machida, and T Nagashima. “Cleavage of the jumping bristletail, Pedetontus unimaculatus Machida: Hexapoda, Microcoryphia, Machilidae”. Bulletin of Seisen Women’s Junior College 8-9 (1990): 197–202. Print.	
ando1973old	Ando, Hiroshi. “Old oocytes and newly laid eggs of scorpion-flies and hanging-flies (Mecoptera: Panorpidae and Bittacidae)”. Science Reports of the Tokyo Kyoiku Daigaku 15 (1973): 163–187. Print.	
Ando1975	Ando, Hiroshi and Hisao Kobayashi. “Description of early and middle developmental stages in embryos of the firefly, Luciola cruciata Motschulsky (Coleoptera: Lampyridae)”. Sugadaira Kogen Biological Laboratory Research Report 7. issn: 0913-994X (1975): 1–11. Print.	
ando1975description	“Description of early and middle developmental stages in embryos of the firefly, Luciola cruciata Motschulsky (Coleoptera: Lampyridae)”. Sugadaira Kogen Biological Laboratory Research Report 7 (1975): 1–11. Print.	
ando1987relationship	Ando, Hiroshi and Ryuichiro Machida. “Relationship between Notoptera and Dermaptera, from the embryological standpoint”. Recent advances in Insect Embryology in Japan and Poland. 1987. 151–157. Print.	
ando1958embryology	Ando, Hiroshi and J Okada. “Embryology of the butterbur stem sawfly Aglaeostigma occipitosa (Malaise) as studied by external observation (Tenthredinidae, Hymenoptera)”. Acta Hymenopterologica 1 (1958): 55–62. Print.	
ando1976formation	Ando, Hiroshi and M Tanaka. “The formation of germ rudiment and embryonic membranes in the primitive moth, Endoclita excrescens Butler (Hepialidae, Monotrysia, Lepidoptera) and its phylogenetic significance”. Proceedings of the Japanese Society of Systematic Zoology 12 (1976): 52–55. Print.	
Ando1980	Ando, Hiroshi and Masahiro Tanaka. “Early embryonic development of the primitive moths, Endoclyta signifer Walker and E. excrescens Butler (Lepidoptera: Hepialidae)”. International Journal of Insect Morphology and Embryology 9.1. issn: 0020-7322 (1980): 67–77. Print.	
ANDO1973	Ando, Yoshikazu. “Structure of the chorion in the false melon beetle, Atrachya menetriesi Faldermann (Coleoptera: Chrysomelidae)”. Kontyû 41.4. issn: 0915-5805 (1973): 405–412. Print.	
Ansari2006	Ansari, Minshad Ali, et al. “Biology of Hoplia philanthus (Col., Scarabaeidae, Melolonthinae): a new and severe pest in Belgian turf”. Environmental Entomology 35.6. issn: 0046-225X (2006): 1500–1507. Print.	
Antunes2002	Antunes, Fabiano F, et al. “Morfologia externa dos estágios imaturos de heliconíneos neotropicais: I. Eueides isabella dianasa (Hübner, 1806)”. Revista Brasileira de Entomologia 46.4. issn: 0085-5626 (2002): 601–610. Print.	
AparecidoPereira2006	Aparecido Pereira, Rogério, et al. “Comparative morphology of reproductive and trophic eggs in Melipona bees (Apidae, Meliponini)”. Brazilian Journal of Morphological Sciences 23.3-4 (2006): 349–354. Print.	
Arbogast1989	Arbogast, Richard T, John H Brower, and Rudolph G Strong. “External morphology of the eggs of Tinea pallescentella Stainton, Tinea occidentella Chambers, and Niditinea fuscella (L.) (Lepidoptera: Tineidae)”. International Journal of Insect Morphology and Embryology 18.5. issn: 0020-7322 (1989): 321–328. Print.	
arbogast1971developmental	Arbogast, Richard T, Margaret Carthon, and John R Roberts Jr. “Developmental stages of Xylocoris flavipes (Hemiptera: Anthocoridae), a predator of stored-product insects”. Annals of the Entomological Society of America 64.5 (1971): 1131–1134. Print.	
Arbogast1980	Arbogast, Richard T, G Leonard Lecato, and Richard Van Byrd. “External morphology of some eggs of stored-product moths (Lepidoptera Pyralidae, Gelechiidae, Tineidae)”. International Journal of Insect Morphology and Embryology 9.3. issn: 0020-7322 (1980): 165–177. Print.	
Arbogast1986	Arbogast, Richard T and Richard Van Byrd. “External morphology of the egg of the pink scavenger caterpillar, Pyroderces rileyi (Wallsingham) (Lepidoptera: Cosmopterigidae)”. International Journal of Insect Morphology and Embryology 15.3. issn: 0020-7322 (1986): 165–169. Print.	
Arbogast1981	“External morphology of the eggs of the meal moth, Pyralis farinalis (L.), and the murky meal moth, Aglossa caprealis (Hübner) (Lepidoptera: Pyralidae)”. International Journal of Insect Morphology and Embryology 10.5-6. issn: 0020-7322 (1981): 419–423. Print.	
Archangelsky1994b	Archangelsky, Miguel. “Description of the immature stages of three Nearctic species of the genus Berosus Leach (Coleoptera: Hydrophilidae)”. Internationale Revue der gesamten Hydrobiologie und Hydrographie 79.3. issn: 1522-2632 (1994): 357–372. Print.	
Archangelsky1994a	“Description of the preimaginal stages of Dactylosternum cacti (Coleoptera: Hydrophilidae, Sphaeridiinae)”. Insect Systematics & Evolution 25.2. issn: 1876-312X (1994): 121–128. Print.	
Archangelsky1999	“Larvae of Neotropical Berosus (Coleoptera, Hydrophilidae): B. aulus Orchymont, 1941 and B. auriceps Boheman, 1859”. Tijdschrift voor Entomologie 142.1-2. issn: 2211-9434 (1999): 1–8. Print.	
Archangelsky1992b	Archangelsky, Miguel and M E Durand. “Description of the immature stages and biology of Phaenonotum exstriatum (Say 1835) (Coleoptera: Hydrophilidae: Sphaeridiinae)”. The Coleopterists’ Bulletin. issn: 0010-065X (1992): 209–215. Print.	
Archangelsky1992a	Archangelsky, Miguel and María E Durand. “Description of the preimaginal stages of Derallus angustus Sharp, 1882 (Coleoptera: Hydrophilidae, Berosinae)”. Aquatic insects 14.3. issn: 0165-0424 (1992): 169–178. Print.	
Archangelsky1994	Archangelsky, Miguel and Liliana A Fernandez. “Description of the preimaginal stages and biology of Phaenonotum (Hydroglobus) puncticolle Bruch (Coleoptera: Hydrophilidae)”. Aquatic insects 16.1. issn: 0165-0424 (1994): 55–63. Print.	
ARCHANGELSKY2004a	Archangelsky, Miguel and M Fikáček. “Descriptions of the egg case and larva of Anacaena and a review of the knowledge and relationships between larvae of Anacaenini (Coleoptera: Hydrophilidae: Hydrophilinae)”. European Journal of Entomology 101.4 (2004): 629–636. Print.	
Arcila2002	Arcila, Angela María, Luis Antonio Gómez, and Patricia Ulloa-Chacón. “Immature development and colony growth of crazy ant Paratrechina fulva under laboratory conditions (Hymenoptera: Formicidae)”. Sociobiology 39.2. issn: 0361-6525 (2002): 307–322. Print.	
Arivoli2011	Arivoli, S, Anjali N Upadhyay, and P Venkatesan. “Scanning electron microscopy on eggshell and eclosion process of Tenagogonus fluviorum (Fabricius) (Hemiptera: Gerridae)”. Advances in Biological Research 5.6. issn: 1992-0067 (2011): 309–314. Print.	
Armstrong1958	Armstrong, John S. “The breeding habits of the Corduliidae (Odonata) in the Taupo district of New Zealand”. Transactions of the Royal Society of New Zealand 85.2 (1958): 275–282. Print.	
Arthur1961	Arthur, A P. “The cleptoparasitic habits and the immature stages of Eurytoma pini Bugbee (Hymenoptera: Chalcidae), a parasite of the European pine shoot moth, Rhyacionia buoliana (Schiff.) (Lepidoptera: Olethreutidae)”. The Canadian Entomologist 93.8. issn: 1918-3240 (1961): 655–660. Print.	
Arthur1958	Arthur, Alfred P. “Development, behaviour, and descriptions of immature stages of Spilochalcis side (Walk.) (Hymenoptera: Chalcididae)”. The Canadian Entomologist 90.10. issn: 1918-3240 (1958): 590–595. Print.	
Arthur1986	Arthur, Alfred P and P G Mason. “Life history and immature stages of the parasitoid Microplitis mediator (Hymenoptera: Braconidae), reared on the bertha armyworm Mamestra configurata (Lepidoptera: Noctuidae)”. The Canadian Entomologist 118.5. issn: 1918-3240 (1986): 487–491. Print.	
Arthur1989	Arthur, Alfred P and Yvonne M Powell. “Descriptions of the immature stages and adult reproductive systems of Athrycia cinerea (Coq.) (Diptera: Tachinidae), a native parasitoid of Mamestra configurata (Walk.) (Lepidoptera: Noctuidae)”. The Canadian Entomologist 121.12. issn: 1918-3240 (1989): 1117–1123. Print.	
asaba1978ovarian	Asaba, Hiroshi and Hiroshi Ando. “Ovarian structures and oogenesis in Lepidocampa weberi Oudemans (Diplura: Campodeidae)”. International Journal of Insect Morphology and Embryology 7.5-6 (1978): 405–414. Print.	
ASANO2014	Asano, Makoto. “Morphology and biology of Nepachys japonicus (Kiesenwetter) (Coleoptera: Malachiidae: Attalini): The foetomorphic larva in Malachiidae, III”. Japanese Journal of Systematic Entomology 20.2 (2014): 193–200. Print.	
ashby1946immature	Ashby, D G and D W Wright. “The immature stages of the carrot fly”. Ecological Entomology 97.14 (1946): 355–379. Print.	
Ashe1981	Ashe, James S. “Studies of the life history and habits of Phanerota fasciata Say (Coleoptera: Staphylinidae: Aleocharinae) with notes on the mushroom as a habitat and descriptions of the immature stages”. The Coleopterists’ Bulletin. issn: 0010-065X (1981): 83–96. Print.	
Asis1991	Asís, J D, S F Gayubo, and J Tormos. “Notes on the natural history of Stizus perrisii ibericus Beaumont (Hymenoptera: Sphecidae)”. Journal of Natural History 25.5. issn: 0022-2933 (1991): 1331–1337. Print.	
askew1974biology	Askew, R R and J M Ruse. “The biology of some Cecidomyiidae (Diptera) galling the leaves of birch (Betula) with special reference to their chalcidoid (Hymenoptera) parasites”. Ecological Entomology 126.2 (1974): 129–167. Print.	
auten1934early	Auten, Mary. “The early embryological development of Phormia regina: Diptera (Calliphoridae)”. Annals of the Entomological Society of America 27.3 (1934): 481–506. Print.	
Avelar1989	Avelar, T and M T Rocha Pité. “Egg size and number in Drosophila subobscura under semi-natural conditions”. Evolutionary Biology 3 (1989): 37–48. Print.	
Avilla1991	Avilla, J, et al. “Morphological and biological notes on Encarsia meritoria Gahan (Hymenoptera, Aphelinidae), a parasitoid of Trialeurodes vaporariorum (Westwood) (Homoptera, Aleyrodidae) new in Europe”. Biocontrol Science and Technology 1.4. issn: 0958-3157 (1991): 289–295. Print.	
Awad	Awad, Hanan, et al. “Some biological parameters and morphological descriptions study on the milkweed bug, Spilostethus Pandurus Scop., (Hemiptera: Lygaeidae)”. Wulfenia 20 (2013): 169–187. Print.	
Baehrecke1990	Baehrecke, E H and M R Strand. “Embryonic morphology and growth of the polyembryonic parasitoid Copidosoma floridanum (Ashmead) (Hymenoptera: Encyrtidae)”. International Journal of Insect Morphology and Embryology 19.3-4. issn: 0020-7322 (1990): 165–175. Print.	
baerends1949embryological	Baerends, G P and J M Baerends van Roon. “Embryological and ecological investigations on the development of the egg of Ammophila campestris Jur”. Tijdschrift voor Entomologie 92 (1949): 53–112. Print.	
Bahia2007	Bahia, Ana C, et al. “Ultrastructural comparison of external morphology of immature stages of Lutzomyia (Nyssomyia) intermedia and Lutzomyia (Nyssomyia) whitmani (Diptera: Psychodidae), vectors of cutaneous leishmaniasis, by scanning electron microscopy”. Journal of Medical Entomology 44.6. issn: 1938-2928 (2007): 903–914. Print.	
